fpl_id,review_id,Name,Pos,Value,30_Pts,30_xMins,31_Pts,31_xMins,32_Pts,32_xMins,33_Pts,33_xMins,34_Pts,34_xMins,35_Pts,35_xMins,36_Pts,36_xMins,Team
245,245,Branthwaite,D,4.2,2.59,90.0,2.25,90.0,3.87,90.0,1.95,90.0,4.87,90.0,3.34,90.0,2.96,90.0,Everton
511,511,Romero,D,5.1,4.03,90.0,2.79,90.0,3.69,90.0,2.28,90.0,1.67,90.0,2.11,90.0,1.34,90.0,Spurs
260,260,Mykolenko,D,4.6,2.71,90.0,2.4,90.0,4.15,90.0,2.14,90.0,5.3,90.0,3.51,90.0,3.15,90.0,Everton
519,519,Udogie,D,5.0,4.36,90.0,3.0,90.0,4.07,90.0,2.52,90.0,1.93,90.0,2.3,90.0,1.58,90.0,Spurs
195,195,Chilwell,D,5.4,4.11,90.0,3.07,90.0,3.51,90.0,3.03,90.0,1.8,90.0,3.18,90.0,4.07,90.0,Chelsea
342,342,Aké,D,5.1,2.39,90.0,2.79,90.0,2.89,90.0,3.33,90.0,2.13,90.0,2.92,90.0,3.12,90.0,Man City
405,405,Botman,D,4.5,2.95,90.0,3.12,90.0,2.47,90.0,2.35,90.0,2.35,90.0,3.9,90.0,3.0,90.0,Newcastle
350,350,Rúben,D,5.5,2.68,90.0,3.12,90.0,3.34,90.0,3.69,90.0,2.52,90.0,3.32,90.0,3.61,90.0,Man City
377,377,Dalot,D,5.2,3.1,90.0,2.18,90.0,2.09,90.0,2.63,90.0,3.71,90.0,3.95,90.0,2.85,90.0,Man Utd
112,112,Pinnock,D,4.5,1.97,90.0,2.18,90.0,1.65,90.0,3.92,90.0,2.78,90.0,2.39,90.0,2.9,90.0,Brentford
31,31,Zinchenko,D,5.0,1.16,90.0,2.47,90.0,1.86,90.0,2.4,90.0,3.81,90.0,1.87,90.0,2.53,90.0,Arsenal
407,407,Burn,D,4.4,3.19,90.0,3.04,90.0,2.32,90.0,2.19,90.0,2.16,90.0,3.48,90.0,2.65,90.0,Newcastle
341,341,Akanji,D,4.9,2.11,90.0,2.49,90.0,2.72,90.0,3.04,90.0,1.98,90.0,2.7,90.0,3.01,90.0,Man City
508,508,Reguilón,D,4.4,1.34,90.0,2.8,90.0,1.99,90.0,4.08,90.0,2.87,90.0,2.43,90.0,2.97,90.0,Brentford
321,321,Doughty,D,4.7,1.78,90.0,1.38,90.0,3.49,90.0,0.94,90.0,3.76,90.0,2.76,90.0,3.39,90.0,Luton
302,302,Konaté,D,4.9,1.82,90.0,2.72,90.0,1.72,90.0,3.53,90.0,4.6,90.0,2.69,90.0,2.53,90.0,Liverpool
129,129,Dunk,D,5.2,1.43,90.0,2.87,90.0,2.13,90.0,3.34,90.0,0.51,90.0,3.77,90.0,4.05,90.0,Brighton
217,217,T.Silva,D,5.0,3.61,90.0,2.7,90.0,3.31,90.0,2.95,90.0,1.63,90.0,2.94,90.0,3.94,90.0,Chelsea
283,283,Robinson,D,4.5,3.47,90.0,2.91,90.0,2.71,90.0,2.44,90.0,1.76,90.0,3.45,90.0,2.54,90.0,Fulham
545,545,Aït-Nouri,D,4.5,2.12,90.0,3.16,90.0,3.3,90.0,2.93,90.0,4.05,90.0,3.63,90.0,1.09,90.0,Wolves
83,83,Senesi,D,4.5,2.06,90.0,2.8,90.0,2.5,90.0,2.46,90.0,3.16,90.0,2.54,90.0,1.18,90.0,Bournemouth
286,286,Tosin,D,4.3,3.36,90.0,2.85,90.0,2.58,90.0,2.35,90.0,1.7,90.0,3.31,90.0,2.44,90.0,Fulham
90,90,Ajer,D,4.4,2.28,90.0,2.23,90.0,1.49,90.0,3.15,90.0,2.03,90.0,1.84,90.0,2.15,90.0,Brentford
